Accession	Organism	Kingdom	Sequence length	SP cleavage	label	N-term transmembrane	fold
Q19LA2	Colocasia esculenta	Viridiplantae	84		0	False	3
Q94AL8	Arabidopsis thaliana	Viridiplantae	225		0	True	2
P40971	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	790		0	False	4
Q8RX78	Arabidopsis thaliana	Viridiplantae	684		0	False	2
Q14019	Homo sapiens	Metazoa	142		0	False	2
Q920A7	Mus musculus	Metazoa	789		0	False	4
Q04500	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	899		0	False	4
Q00731	Mus musculus	Metazoa	392		0	False	4
O74547	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	422		0	False	1
Q6NLC1	Arabidopsis thaliana	Viridiplantae	706		0	True	1
P82715	Arabidopsis thaliana	Viridiplantae	297		0	False	3
Q96T76	Homo sapiens	Metazoa	1030		0	False	1
Q9P2P6	Homo sapiens	Metazoa	4700		0	False	2
Q8R4C2	Mus musculus	Metazoa	606		0	False	0
Q96PX9	Homo sapiens	Metazoa	1627		0	False	3
Q93Y07	Arabidopsis thaliana	Viridiplantae	622		0	True	2
Q9GZN0	Homo sapiens	Metazoa	384		0	True	0
Q2V2Q1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	113		0	False	1
P19954	Spinacia oleracea	Viridiplantae	302		0	False	2
B9U3F2	Gallus gallus	Metazoa	1338		0	True	1
Q63430	Rattus norvegicus	Metazoa	154		0	False	3
P78963	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	625		0	False	1
P49107	Arabidopsis thaliana	Viridiplantae	171		0	False	4
P41252	Homo sapiens	Metazoa	1262		0	False	3
Q4L180	Homo sapiens	Metazoa	1135		0	False	0
Q2TAK8	Homo sapiens	Metazoa	710		0	False	3
P52553	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	114		0	False	3
Q96BM1	Homo sapiens	Metazoa	317		0	False	4
Q96BY6	Homo sapiens	Metazoa	2186		0	False	2
Q5SSW2	Mus musculus	Metazoa	1843		0	False	2
