Accession	Organism	Kingdom	Sequence length	SP cleavage	label	N-term transmembrane
Q94FY8	Zea mays	Viridiplantae	474		0	False
Q9Y5S8	Homo sapiens	Metazoa	564		0	True
Q9UN81	Homo sapiens	Metazoa	338		0	False
Q9BRP8	Homo sapiens	Metazoa	204		0	False
Q9DCJ5	Mus musculus	Metazoa	172		0	False
Q0WUA3	Arabidopsis thaliana	Viridiplantae	382		0	False
Q9FQ09	Arabidopsis thaliana	Viridiplantae	680		0	False
Q96KR6	Homo sapiens	Metazoa	192		0	False
Q9SQK3	Arabidopsis thaliana	Viridiplantae	315		0	False
O82204	Arabidopsis thaliana	Viridiplantae	143		0	False
Q6ASS9	Oryza sativa subsp. japonica	Viridiplantae	123		0	False
Q9SCL7	Arabidopsis thaliana	Viridiplantae	347		0	False
Q86MV5	Trypanosoma brucei brucei	Other	487		0	False
Q9NJP9	Trypanosoma brucei brucei	Other	512		0	False
P50402	Homo sapiens	Metazoa	254		0	False
Q02864	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	156		0	False
Q9H0F5	Homo sapiens	Metazoa	515		0	False
Q9NUM3	Homo sapiens	Metazoa	307		0	True
Q9NPI6	Homo sapiens	Metazoa	582		0	False
P89105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1077		0	False
O13999	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	187		0	True
Q8BIW9	Mus musculus	Metazoa	969		0	False
Q00947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	519		0	False
Q9LGE3	Oryza sativa subsp. japonica	Viridiplantae	109		0	False
Q8VZB2	Arabidopsis thaliana	Viridiplantae	221		0	True
Q15637	Homo sapiens	Metazoa	639		0	False
Q9FMV1	Arabidopsis thaliana	Viridiplantae	252		0	False
A1A4Y4	Homo sapiens	Metazoa	181		0	False
Q9JL55	Rattus norvegicus	Metazoa	331		0	True
P22734	Rattus norvegicus	Metazoa	264		0	True
P41814	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	478		0	False
Q9QXM1	Mus musculus	Metazoa	983		0	False
P01098	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	86		0	False
Q9D219	Mus musculus	Metazoa	1425		0	False
