Accession	Organism	Kingdom	Sequence length	SP cleavage
O43155	Homo sapiens	Metazoa	660	35
O43866	Homo sapiens	Metazoa	347	19
O75629	Homo sapiens	Metazoa	220	31
O94985	Homo sapiens	Metazoa	981	28
P01579	Homo sapiens	Metazoa	166	23
P02649	Homo sapiens	Metazoa	317	18
P02743	Homo sapiens	Metazoa	223	19
P02774	Homo sapiens	Metazoa	474	16
P04062	Homo sapiens	Metazoa	536	39
P04275	Homo sapiens	Metazoa	2813	22
P04844	Homo sapiens	Metazoa	631	22
P06028	Homo sapiens	Metazoa	91	19
P06865	Homo sapiens	Metazoa	529	22
P07359	Homo sapiens	Metazoa	652	16
P13671	Homo sapiens	Metazoa	934	21
P13686	Homo sapiens	Metazoa	325	21
P16112	Homo sapiens	Metazoa	2530	16
P16150	Homo sapiens	Metazoa	400	19
P18510	Homo sapiens	Metazoa	177	25
P19438	Homo sapiens	Metazoa	455	29
P21128	Homo sapiens	Metazoa	410	18
P28039	Homo sapiens	Metazoa	575	23
P28335	Homo sapiens	Metazoa	458	32
P36897	Homo sapiens	Metazoa	503	33
P40259	Homo sapiens	Metazoa	229	28
P47710	Homo sapiens	Metazoa	185	15
P49767	Homo sapiens	Metazoa	419	31
P50895	Homo sapiens	Metazoa	628	31
P52798	Homo sapiens	Metazoa	201	25
P55000	Homo sapiens	Metazoa	103	22
P80188	Homo sapiens	Metazoa	198	20
P98066	Homo sapiens	Metazoa	277	17
Q01151	Homo sapiens	Metazoa	205	19
Q02083	Homo sapiens	Metazoa	359	28
Q02747	Homo sapiens	Metazoa	115	21
Q03405	Homo sapiens	Metazoa	335	22
Q13162	Homo sapiens	Metazoa	271	37
Q14392	Homo sapiens	Metazoa	662	19
Q14802	Homo sapiens	Metazoa	87	20
Q16568	Homo sapiens	Metazoa	116	27
Q16627	Homo sapiens	Metazoa	93	19
Q5ZPR3	Homo sapiens	Metazoa	534	28
Q6UW88	Homo sapiens	Metazoa	154	22
Q6UX27	Homo sapiens	Metazoa	236	16
Q6UXD5	Homo sapiens	Metazoa	910	27
Q6WN34	Homo sapiens	Metazoa	429	25
Q86WA6	Homo sapiens	Metazoa	291	37
Q86YD3	Homo sapiens	Metazoa	366	26
Q86YL7	Homo sapiens	Metazoa	162	22
Q8N126	Homo sapiens	Metazoa	398	24
Q8NBI3	Homo sapiens	Metazoa	349	25
Q92563	Homo sapiens	Metazoa	424	22
Q969N2	Homo sapiens	Metazoa	578	21
Q96FE7	Homo sapiens	Metazoa	263	21
Q9BQ51	Homo sapiens	Metazoa	273	19
Q9GZX6	Homo sapiens	Metazoa	179	33
Q9H293	Homo sapiens	Metazoa	177	32
Q9UBP4	Homo sapiens	Metazoa	350	21
Q9UK23	Homo sapiens	Metazoa	515	25
Q9Y2I2	Homo sapiens	Metazoa	539	28
